runner_up_drag_name;season;city;maxi_challenges_won;times_in_bottom;times_in_bottom_for_elimination;times_as_team_captain;lip_sync_lost;lip_sync_won;miss_congeniality
Nina Flowers;1;Denver, CO;1;1;0;0;0;0;yes
Raven;2;Riverside, CA;2;2;2;0;0;2;no
Manila Luzon;3;New York, NY;3;2;1;1;0;1;no
Chad Michaels;4;San Diego, CA;2;2;1;1;0;1;no
Phi Phi O'Hara;4;Chicago, IL;2;2;0;2;0;0;no
Alaska;5;Pittsburgh, PA;2;3;0;1;0;0;no
Roxxxy Andrews;5;Orlando, FL;2;3;1;0;0;1;no
Adore Delano;6;Azusa, CA;3;4;2;2;0;2;no
Courtney Act;6;West Hollywood, CA;2;2;0;0;0;0;no
Ginger Minj;7;Orlando, FL;3;2;2;1;0;2;no
Pearl;7;Brooklyn, NY;2;3;2;0;0;2;no
Kim Chi;8;Chicago, IL;2;2;0;0;0;0;no
Naomi Smalls;8;Redlands, CA;1;2;1;1;0;1;no
Peppermint;9;New York, NY;1;3;2;0;0;2;no
Eureka;10;Johnson City, TN;2;2;2;0;0;2;no
Kameron Michaels;10;Nashville, TN;1;4;3;0;0;3;no
Brooke Lynn Hytes;11;Nashville, TN;3;3;2;1;0;2;no
Crystal Methyd;12;Springfield, MO;1;3;1;0;0;1;no
Gigi Goode;12;Los Angeles, CA;4;2;0;0;0;0;no
Kandy Muse;13;New York, NY;1;4;3;0;0;4;no
Lady Camden;14;Sacramento, CA;3;2;1;0;0;1;no
Anetra;15;Las Vegas, NV;3;3;2;1;0;2;no
Sapphirra Cristál;16;Philadelphia, PA;4;1;1;1;0;1;yes
Jewels Sparkles;17;Tampa, FL;2;3;2;0;0;2;no
