winner_drag_name;season;city;acting1;acting2;advert1;advert2;ball1;ball2;choreo;design1;design2;design3;girl group;improv1;improv2;lipsync;makeover;roast ;rusical1;rusical2;rumix1;rumix2;runway;singing1;singing2;snatch game;stand up;talent show;maxi_challenges_won;times_high;times_low;times_in_bottom_2;times_as_team_captain;lip_syncs_won;miss_congeniality
Bebe Zahara Benet;1;Minneapolis MN;;;HIGH;;WIN;;;SAFE;;;SAFE;WIN;;;BOTTOM;;;;;;;;;;;;2;1;0;1;0;1;no
Tyra Sanchez;2;Orlando FL;WIN;;HIGH;;WIN;;HIGH;WIN;HIGH;;;;;;HIGH;;;;;;;LOW;;SAFE;;;3;4;1;0;0;0;no
Raja;3;Los Angeles CA;SAFE;;SAFE;LOW;HIGH;HIGH;;WIN;WIN;;;SAFE;;;LOW;;;;;;;WIN;;HIGH;HIGH;;3;4;1;1;0;1;no
Sharon Needles ;4;Pittsburgh PA;SAFE;;WIN;HIGH;WIN;;HIGH;WIN;SAFE;;;WIN;;;LOW;;;;;;;BOTTOM;;HIGH;;;4;3;1;1;0;1;no
Jinkx Monsoon;5;Seattle WA;WIN;SAFE;HIGH;;BOTTOM;;HIGH;SAFE;;;;HIGH;;;HIGH;HIGH;;;;;;HIGH;;WIN;;;2;6;0;1;0;1;no
Bianca Del Rio ;6;New York City NY;HIGH;;HIGH;;HIGH;;;WIN;;;HIGH;SAFE;;;WIN;;SAFE;;;;;;;HIGH;WIN;;3;4;0;0;0;0;no
Violet Chachki;7;Atlanta GA;SAFE;SAFE;;;WIN;;WIN;WIN;;;;;;;HIGH;;HIGH;;;;;SAFE;LOW;SAFE;LOW;;3;2;2;0;0;0;no
Bob The Drag Queen;8;New York NY;WIN;;WIN;;BOTTOM;;;SAFE;;;SAFE;;;;SAFE;;SAFE;;;;;;;WIN;;;3;0;0;1;0;1;no
Sasha Velour;9;Brooklyn NY ;LOW;;WIN;;HIGH;;SAFE;SAFE;;;;WIN;;;HIGH;HIGH;SAFE;;;;HIGH;;;HIGH;;;2;5;1;0;0;2;no
Aquaria ;10;Brooklyn NY ;HIGH;;SAFE;SAFE;WIN;;;SAFE;;;;SAFE;;;;;SAFE;;;;WIN;;;WIN;;;3;1;2;0;0;2;no
Yvie Oddly;11;Denver CO;WIN;;;;HIGH;;HIGH;HIGH;SAFE;;;HIGH;SAFE;;LOW;;HIGH;;HIGH;;;;;BOTTOM;SAFE;;1;6;1;1;0;3;no
Jaida Essence Hall;12;Milwaukee WI;SAFE;;HIGH;;HIGH;;;;;;;WIN;SAFE;;WIN;;HIGH;SAFE;WIN;;;;;SAFE;BOTTOM;;3;3;0;1;1;3;no
Symone;13;Los Angeles CA;WIN;HIGH;WIN;;SAFE;;SAFE;;;;;;HIGH;WIN;WIN;BOTTOM;BOTTOM;;WIN;SAFE;;;;SAFE;;;5;1;0;2;0;5;no
Willow Pill ;14;Denver, CO;HIGH;HIGH;SAFE;;WIN;;;SAFE;;;SAFE;HIGH;;SAFE;;HIGH;HIGH;;BOTTOM;;;;;BOTTOM;;HIGH;1;5;2;1;0;2;no
Sasha Colby;15;Los Angeles, CA;SAFE;;WIN;;WIN;;;HIGH;;;HIGH;WIN;;SAFE;HIGH;;HIGH;;WIN;;;;;SAFE;LOW;SAFE;4;4;1;0;0;2;no
Nymphia Wind ;16;Brooklyn NY ;SAFE;;WIN;;WIN;;;HIGH;SAFE;LOW;WIN;;;;HIGH;;SAFE;;SAFE;;;;;LOW;HIGH;SAFE;3;3;2;0;0;1;no
Onya Nurve;17;Cleveland OH;HIGH;;HIGH;;SAFE;;;HIGH;LOW;;;;;;BOTTOM;HIGH;HIGH;;;;;WIN;;WIN;WIN;SAFE;4;4;1;1;0;2;no
