contestant;age;location;season;miss-congeniality;casting-special;design;girl-groups;improv;improv-2;runway;choreo;advert;advert-2;makeover;singing;singing-2;rusical;rusical-2;acting;snatch-game;design-2;design-3;stand-up;talent-show;acting-2;main-ball;ball-2;chapter-ball-recap;music-video;Lip Sync;rumix;finale
Bebe Zahara Benet;28;Minneapolis, MN;1;0;N/A;SAFE;SAFE;WIN;N/A;N/A;N/A;HIGH;N/A;BTM2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;WIN;N/A;RUN;N/A;N/A;N/A;WINNER
Nina Flowers;34;Denver, CO;1;1;N/A;WIN;"HIGH
TEAM";HIGH;N/A;N/A;N/A;HIGH;N/A;LOW;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;"HIGH 


MiniChall.Winner";N/A;RUN;N/A;N/A;N/A;RUNNERUP
Rebecca Glasscock;26;Ft. Lauderdale, FL;1;0;N/A;LOW;"HIGH
TEAM";HIGH;N/A;N/A;N/A;BTM2;N/A;"WIN


MiniChall.Winner";N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;BTM2;N/A;RUN;N/A;N/A;N/A;ELIM
Shannel;29;Las Vegas, NV;1;0;N/A;SAFE;"HIGH
TEAM";BTM2;N/A;N/A;N/A;LOW;N/A;HIGH;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ELIM;N/A;;N/A;N/A;N/A;
Ongina;26;Los Angeles, CA;1;0;N/A;HIGH;"WIN

TeamCaptain";HIGH;N/A;N/A;N/A;WIN;N/A;ELIM;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Jade;25;Chicago, IL;1;0;N/A;SAFE;SAFE;LOW;N/A;N/A;N/A;"ELIM


MiniChall.Winner";N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Akashia;24;Cleveland, OH;1;0;N/A;BTM2;"BTM2

TeamCaptain";ELIM;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Tammie Brown;29;Long Beach, CA;1;0;N/A;SAFE;ELIM;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Victoria Parker;39;Raleigh, NC;1;0;N/A;ELIM;;;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Tyra Sanchez;21;Orlando, FL;2;0;N/A;HIGH;N/A;N/A;N/A;N/A;"HIGH
TEAM";HIGH;N/A;HIGH;LOW;N/A;N/A;N/A;WIN;SAFE;WIN;N/A;N/A;N/A;N/A;"WIN


MiniChall.Winner";N/A;RUN;N/A;N/A;N/A;WINNER
Raven;30;Riverside, CA;2;0;N/A;"SAFE


MiniChall.Winner";N/A;N/A;N/A;N/A;BTM2;WIN;N/A;WIN;HIGH;N/A;N/A;N/A;BTM2;"SAFE


MiniChall.Winner";"HIGH 


MiniChall.Winner";N/A;N/A;N/A;N/A;HIGH;N/A;RUN;N/A;N/A;N/A;RUNNERUP
Jujubee;25;Boston, MA;2;0;N/A;SAFE;N/A;N/A;N/A;N/A;"HIGH
TEAM";"HIGH 


MiniChall.Winner";N/A;BTM2;BTM2;N/A;N/A;N/A;SAFE;LOW;HIGH;N/A;N/A;N/A;N/A;BTM2;N/A;RUN;N/A;N/A;N/A;ELIM
Tatianna;21;Falls Church, VA;2;0;N/A;SAFE;N/A;N/A;N/A;N/A;SAFE;BTM2;N/A;"HIGH 


MiniChall.Winner";SAFE;N/A;N/A;N/A;SAFE;WIN;LOW;N/A;N/A;N/A;N/A;ELIM;N/A;;N/A;N/A;N/A;
Pandora Boxx;37;Rochester, NY;2;1;N/A;HIGH;N/A;N/A;N/A;N/A;"SAFE

TeamCaptain";LOW;N/A;ELIM;"HIGH 


MiniChall.Winner";N/A;N/A;N/A;HIGH;HIGH;SAFE;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Jessica Wild;29;San Juan, PR;2;0;N/A;SAFE;N/A;N/A;N/A;N/A;"HIGH
TEAM";ELIM;N/A;;WIN;N/A;N/A;N/A;HIGH;SAFE;HIGH;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Sahara Davenport;25;New York, NY;2;0;N/A;BTM2;N/A;N/A;N/A;N/A;"WIN

TeamCaptain";;N/A;;ELIM;N/A;N/A;N/A;SAFE;SAFE;BTM2;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Morgan McMichaels;28;Mira Loma, CA;2;0;N/A;WIN;N/A;N/A;N/A;N/A;SAFE;;N/A;;;N/A;N/A;N/A;"SAFE

TeamCaptain";BTM2;ELIM;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Sonique;26;Atlanta, GA;2;0;N/A;SAFE;N/A;N/A;N/A;N/A;LOW;;N/A;;;N/A;N/A;N/A;SAFE;ELIM;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Mystique Summers Madison;25;Bedford, TX;2;0;N/A;LOW;N/A;N/A;N/A;N/A;"HIGH
TEAM";;N/A;;;N/A;N/A;N/A;"ELIM

TeamCaptain";;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Nicole Paige Brooks;36;Atlanta, GA;2;0;N/A;SAFE;N/A;N/A;N/A;N/A;ELIM;;N/A;;;N/A;N/A;N/A;;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Shangela Laquifa Wadley;28;Studio City, CA;2;0;N/A;ELIM;N/A;N/A;N/A;N/A;;;N/A;;;N/A;N/A;N/A;;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A;N/A;
Raja;36;"Los Angeles,
CA";3;0;IN;"WIN


MiniChall.Winner";N/A;SAFE;N/A;N/A;N/A;SAFE;LOW;BTM2;WIN;N/A;N/A;N/A;SAFE;HIGH;WIN;N/A;HIGH;N/A;N/A;"HIGH 


MiniChall.Winner";HIGH;RUN;N/A;N/A;N/A;WINNER
Manila Luzon;28;"New York,
NY";3;0;IN;HIGH;N/A;WIN;N/A;N/A;N/A;"SAFE

TeamCaptain";"LOW 


MiniChall.Winner";WIN;"HIGH 


MiniChall.Winner";N/A;N/A;N/A;SAFE;SAFE;HIGH;N/A;BTM2;N/A;N/A;HIGH;WIN;RUN;N/A;N/A;N/A;RUNNERUP
Alexis Mateo;30;"St. Petersburg,
FL";3;0;IN;SAFE;N/A;SAFE;N/A;N/A;N/A;WIN;WIN;"HIGH 


MiniChall.Winner";LOW;N/A;N/A;N/A;WIN;HIGH;BTM2;N/A;LOW;N/A;N/A;BTM2;BTM2;RUN;N/A;N/A;N/A;ELIM
Yara Sofia (miss);26;"Manat,
PR";3;1;IN;SAFE;N/A;SAFE;N/A;N/A;N/A;HIGH;BTM2;HIGH;SAFE;N/A;N/A;N/A;"HIGH
TEAM";LOW;HIGH;N/A;HIGH;N/A;N/A;WIN;"ELIM


MiniChall.Winner";;N/A;N/A;N/A;
Carmen Carrera;25;"Elmwood Park,
NJ";3;0;IN;LOW;N/A;"SAFE

TeamCaptain";N/A;N/A;N/A;"SAFE

TeamCaptain";BTM2;"RTRN
+
ELIM";ELIM;N/A;N/A;N/A;LOW;SAFE;"LOW 


MiniChall.Winner";N/A;HIGH;N/A;N/A;;;;;N/A;N/A;
Shangela;29;"Los Angeles,
CA";3;0;;BTM2;N/A;HIGH;N/A;N/A;N/A;SAFE;HIGH;;BTM2;N/A;N/A;N/A;WIN;SAFE;LOW;N/A;"WIN


MiniChall.Winner";N/A;N/A;ELIM;;;N/A;N/A;N/A;
Delta Work;34;"Norwalk,
CA";3;0;OPENCALL;SAFE;N/A;SAFE;N/A;N/A;N/A;SAFE;;;;N/A;N/A;N/A;BTM2;"BTM2


MiniChall.Winner";HIGH;N/A;ELIM;N/A;N/A;;;;N/A;N/A;N/A;
Stacy Layne Matthews;25;"Back Swamp,
NC";3;0;IN;SAFE;N/A;"BTM2

TeamCaptain";N/A;N/A;N/A;HIGH;;;;N/A;N/A;N/A;"HIGH
TEAM";WIN;ELIM;N/A;;N/A;N/A;;;;N/A;N/A;N/A;
Mariah;29;"Atlanta,
GA";3;0;IN;SAFE;N/A;LOW;N/A;N/A;N/A;LOW;;;;N/A;N/A;N/A;"HIGH
TEAM 

TeamCaptain";ELIM;;N/A;;N/A;N/A;;;;N/A;N/A;N/A;
India Ferrah;23;"Dayton,
OH";3;0;IN;SAFE;N/A;ELIM;N/A;N/A;N/A;BTM2;;;;N/A;N/A;N/A;SAFE;;;N/A;;N/A;N/A;;;;N/A;N/A;N/A;
Mimi Imfurst;27;"New York,
NY";3;0;IN;HIGH;N/A;;N/A;N/A;N/A;ELIM;;;;N/A;N/A;N/A;"HIGH
TEAM";;;N/A;;N/A;N/A;;;;N/A;N/A;N/A;
Phoenix;29;"Atlanta,
GA";3;0;IN;SAFE;N/A;;N/A;N/A;N/A;;;;;N/A;N/A;N/A;"ELIM

TeamCaptain";;;N/A;;N/A;N/A;;;;N/A;N/A;N/A;
Venus D-Lite;26;"Los Angeles,
CA";3;0;OPENCALL;ELIM;N/A;;N/A;N/A;N/A;;;;;N/A;N/A;N/A;;;;N/A;;N/A;N/A;;;;N/A;N/A;N/A;
Sharon Needles;29;"Pittsburgh,
PA";4;0;N/A;WIN;N/A;WIN;N/A;N/A;N/A;WIN;HIGH;LOW;BTM2;N/A;N/A;N/A;SAFE;HIGH;SAFE;N/A;N/A;N/A;N/A;WIN;N/A;RUN;TOP3;N/A;N/A;WINNER
